ticker,name,market,sector,market_cap,total_score,grade,growth_score,sector_score,momentum_score,value_score,d_eps_growth,d_revenue_cagr,d_operating_margin,d_sector_flow,d_analyst_reports,d_news_multiplier,d_volume_multiplier,d_week52_position,d_institutional_buying,d_forward_peg,d_pbr_ratio,raw_eps_growth_pct,raw_revenue_cagr_pct,raw_operating_margin_trend,raw_volume_multiplier,raw_week52_position_pct,raw_institutional_buying,raw_pbr_vs_sector,raw_forward_peg,raw_sector_flow,raw_analyst_count,raw_news_multiplier,last_updated
160980,싸이맥스,"market    KOSDAQ
market       KSQ
Name: 713, dtype: object",,2867.6137875,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.87,54.96,,,,,0,,2026-09-21 13:42:15
099440,스맥,"market    KOSDAQ
market       KSQ
Name: 712, dtype: object",,2879.8712268,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.64,51.02,,,,,0,,2026-09-21 13:42:15
265520,AP시스템,"market    KOSDAQ
market       KSQ
Name: 714, dtype: object",,2859.65599,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.19,61.03,,,,,0,,2026-09-21 13:42:16
049070,인탑스,"market    KOSDAQ
market       KSQ
Name: 716, dtype: object",,2855.65322,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.32,72.83,,,,,0,,2026-09-21 13:42:21
472850,폰드그룹,"market    KOSDAQ
market       KSQ
Name: 718, dtype: object",,2852.6753566,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.47,47.74,,,,,0,,2026-09-21 13:42:23
091580,상신이디피,"market    KOSDAQ
market       KSQ
Name: 719, dtype: object",,2845.5747565,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.96,68.15,,,,,0,,2026-09-21 13:42:23
001390,KG케미칼,"market    KOSPI
market      STK
Name: 721, dtype: object",,2825.4747118,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.55,57.84,,,,,0,,2026-09-21 13:42:23
084690,대상홀딩스,"market    KOSPI
market      STK
Name: 720, dtype: object",,2835.4417254,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.77,70.71,,,,,0,,2026-09-21 13:42:23
389500,에스비비테크,"market    KOSDAQ
market       KSQ
Name: 722, dtype: object",,2825.312128,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.55,37.26,,,,,0,,2026-09-21 13:42:28
136480,하림,"market    KOSDAQ
market       KSQ
Name: 724, dtype: object",,2803.9361328,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.87,74.33,,,,,0,,2026-09-21 13:42:30
